
ypr	-0.02	0.00	-0.03
ypr	-0.02	0.00	-0.03
ypr	-0.02	0.00	-0.03
ypr	-0.02	0.00	-0.03
ypr	-0.02	0.00	-0.03
ypr	-0.02	0.00	-0.03
ypr	-0.02	0.00	-0.03
ypr	-0.02	0.00	-0.03
ypr	-0.02	0.00	-0.03
ypr	-0.02	0.01	-0.03
ypr	-0.02	0.01	-0.03
ypr	-0.02	0.01	-0.03
ypr	-0.02	0.01	-0.03
ypr	-0.02	0.01	-0.03
ypr	-0.02	0.01	-0.04
ypr	-0.02	0.01	-0.04
ypr	-0.02	0.01	-0.04
ypr	-0.02	0.01	-0.04
ypr	-0.02	0.01	-0.04
ypr	-0.03	0.01	-0.05
ypr	-0.03	0.01	-0.05
ypr	-0.03	0.01	-0.05
ypr	-0.03	0.01	-0.05
ypr	-0.03	0.01	-0.05
ypr	-0.03	0.01	-0.05
ypr	-0.03	0.01	-0.05
ypr	-0.03	0.01	-0.05
ypr	-0.03	0.01	-0.05
ypr	-0.03	0.01	-0.05
ypr	-0.03	0.01	-0.05
ypr	-0.03	0.01	-0.05
ypr	-0.04	0.01	-0.05
ypr	-0.04	0.01	-0.05
ypr	-0.04	0.01	-0.05
ypr	-0.04	0.01	-0.05
ypr	-0.04	0.01	-0.05
ypr	-0.04	0.01	-0.05
ypr	-0.04	0.01	-0.05
ypr	-0.04	0.01	-0.05
ypr	-0.04	0.01	-0.05
ypr	-0.04	0.01	-0.05
ypr	-0.04	0.01	-0.05
ypr	-0.04	0.01	-0.05
ypr	-0.04	0.01	-0.05
ypr	-0.05	0.01	-0.05
ypr	-0.05	0.01	-0.05
ypr	-0.05	0.01	-0.05
ypr	-0.05	0.01	-0.05
ypr	-0.05	0.01	-0.05
ypr	-0.05	0.01	-0.05
ypr	-0.05	0.01	-0.05
ypr	-0.05	0.01	-0.05
ypr	-0.05	0.01	-0.05
ypr	-0.05	0.01	-0.05
ypr	-0.05	0.01	-0.05
ypr	-0.05	0.01	-0.06
ypr	-0.05	0.01	-0.06
ypr	-0.05	0.01	-0.06
ypr	-0.05	0.01	-0.06
ypr	-0.05	0.01	-0.06
ypr	-0.05	0.01	-0.06
ypr	-0.05	0.01	-0.06
ypr	-0.06	0.01	-0.06
ypr	-0.06	0.01	-0.06
ypr	-0.06	0.01	-0.06
ypr	-0.06	0.01	-0.06
ypr	-0.06	0.01	-0.06
ypr	-0.06	0.01	-0.06
ypr	-0.06	0.01	-0.06
ypr	-0.06	0.01	-0.06
ypr	-0.06	0.01	-0.06
ypr	-0.06	0.01	-0.06
ypr	-0.07	0.01	-0.07
ypr	-0.07	0.01	-0.07
ypr	-0.07	0.01	-0.07
ypr	-0.07	0.01	-0.07
ypr	-0.07	0.01	-0.07
ypr	-0.07	0.01	-0.07
ypr	-0.07	0.01	-0.07
ypr	-0.07	0.01	-0.06
ypr	-0.07	0.01	-0.07
ypr	-0.07	0.01	-0.07
ypr	-0.07	0.01	-0.07
ypr	-0.07	0.01	-0.07
ypr	-0.07	0.01	-0.07
ypr	-0.07	0.01	-0.07
ypr	-0.07	0.01	-0.07
ypr	-0.07	0.01	-0.07
ypr	-0.07	0.01	-0.07
ypr	-0.07	0.01	-0.07
ypr	-0.07	0.01	-0.07
ypr	-0.08	0.01	-0.07
ypr	-0.08	0.01	-0.07
ypr	-0.08	0.01	-0.07
ypr	-0.08	0.01	-0.07
ypr	-0.08	0.01	-0.07
ypr	-0.08	0.01	-0.07
ypr	-0.08	0.01	-0.07
ypr	-0.08	0.01	-0.07
ypr	-0.09	0.01	-0.07
ypr	-0.09	0.01	-0.07
ypr	-0.09	0.01	-0.07
ypr	-0.09	0.01	-0.07
ypr	-0.09	0.01	-0.07
ypr	-0.09	0.01	-0.07
ypr	-0.09	0.01	-0.07
ypr	-0.09	0.01	-0.07
ypr	-0.09	0.01	-0.07
ypr	-0.09	0.01	-0.07
ypr	-0.09	0.01	-0.07
ypr	-0.09	0.01	-0.07
ypr	-0.09	0.01	-0.07
ypr	-0.09	0.01	-0.07
ypr	-0.09	0.01	-0.07
ypr	-0.09	0.01	-0.07
ypr	-0.09	0.01	-0.07
ypr	-0.09	0.01	-0.07
ypr	-0.09	0.01	-0.07
ypr	-0.09	0.01	-0.07
ypr	-0.09	0.01	-0.07
ypr	-0.09	0.01	-0.07
ypr	-0.09	0.01	-0.07
ypr	-0.09	0.01	-0.07
ypr	-0.09	0.01	-0.07
ypr	-0.10	0.01	-0.07
ypr	-0.10	0.01	-0.07
ypr	-0.10	0.01	-0.07
ypr	-0.10	0.01	-0.07
ypr	-0.10	0.01	-0.07
ypr	-0.10	0.01	-0.07
ypr	-0.10	0.01	-0.07
ypr	-0.10	0.01	-0.07
ypr	-0.10	0.01	-0.07
ypr	-0.11	0.01	-0.07
ypr	-0.11	0.01	-0.07
ypr	-0.11	0.01	-0.07
ypr	-0.11	0.01	-0.07
ypr	-0.11	0.01	-0.07
ypr	-0.11	0.01	-0.07
ypr	-0.11	0.01	-0.07
ypr	-0.11	0.01	-0.07
ypr	-0.11	0.01	-0.07
ypr	-0.11	0.01	-0.07
ypr	-0.11	0.01	-0.07
ypr	-0.11	0.01	-0.07
ypr	-0.12	0.01	-0.07
ypr	-0.12	0.01	-0.08
ypr	-0.12	0.01	-0.08
ypr	-0.12	0.01	-0.08
ypr	-0.12	0.01	-0.08
ypr	-0.12	0.01	-0.08
ypr	-0.12	0.01	-0.08
ypr	-0.12	0.01	-0.08
ypr	-0.12	0.01	-0.08
ypr	-0.12	0.01	-0.08
ypr	-0.12	0.01	-0.08
ypr	-0.12	0.01	-0.08
ypr	-0.12	0.01	-0.08
ypr	-0.12	0.01	-0.08
ypr	-0.12	0.01	-0.08
ypr	-0.12	0.01	-0.08
ypr	-0.12	0.01	-0.08
ypr	-0.12	0.01	-0.08
ypr	-0.12	0.01	-0.08
ypr	-0.12	0.01	-0.08
ypr	-0.12	0.01	-0.08
ypr	-0.12	0.01	-0.08
ypr	-0.12	0.01	-0.07
ypr	-0.13	0.01	-0.07
ypr	-0.13	0.01	-0.07
ypr	-0.13	0.01	-0.07
ypr	-0.13	0.01	-0.07
ypr	-0.13	0.01	-0.07
ypr	-0.13	0.01	-0.07
ypr	-0.13	0.01	-0.07
ypr	-0.13	0.01	-0.07
ypr	-0.13	0.01	-0.07
ypr	-0.13	0.01	-0.07
ypr	-0.13	0.01	-0.07
ypr	-0.14	0.01	-0.08
ypr	-0.14	0.01	-0.07
ypr	-0.14	0.01	-0.08
ypr	-0.14	0.01	-0.08
ypr	-0.14	0.01	-0.08
ypr	-0.14	0.01	-0.08
ypr	-0.14	0.01	-0.08
ypr	-0.14	0.01	-0.08
ypr	-0.14	0.01	-0.08
ypr	-0.14	0.01	-0.08
